,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
0,Brasil,,,76,,,,2023-01-01,1,210147125.0,36331281,0,693853,0,35006153.0,631275.0,
1,Brasil,,,76,,,,2023-01-02,1,210147125.0,36362366,31085,693981,128,35081933.0,586452.0,
2,Brasil,,,76,,,,2023-01-03,1,210147125.0,36390423,28057,694192,211,35147500.0,548731.0,
3,Brasil,,,76,,,,2023-01-04,1,210147125.0,36423138,32715,694411,219,35196324.0,532403.0,
4,Brasil,,,76,,,,2023-01-05,1,210147125.0,36450812,27674,694569,158,35225196.0,531047.0,
5,Brasil,,,76,,,,2023-01-06,1,210147125.0,36477214,26402,694779,210,35247755.0,534680.0,
6,Brasil,,,76,,,,2023-01-07,1,210147125.0,36488386,11172,694806,27,35273694.0,519886.0,
7,Brasil,,,76,,,,2023-01-08,2,210147125.0,36490050,1664,694817,11,35309644.0,485589.0,
8,Brasil,,,76,,,,2023-01-09,2,210147125.0,36511286,21236,694917,100,35368526.0,447843.0,
9,Brasil,,,76,,,,2023-01-10,2,210147125.0,36552432,41146,694985,68,35429017.0,428430.0,
10,Brasil,,,76,,,,2023-01-11,2,210147125.0,36578865,26433,695088,103,35452373.0,431404.0,
11,Brasil,,,76,,,,2023-01-12,2,210147125.0,36597935,19070,695236,148,35452985.0,449714.0,
12,Brasil,,,76,,,,2023-01-13,2,210147125.0,36620371,22436,695314,78,35474747.0,450310.0,
13,Brasil,,,76,,,,2023-01-14,2,210147125.0,36624714,4343,695338,24,35497700.0,431676.0,
14,Brasil,,,76,,,,2023-01-15,3,210147125.0,36628099,3385,695343,5,35537579.0,395177.0,
15,Brasil,,,76,,,,2023-01-16,3,210147125.0,36640787,12688,695410,67,35580516.0,364861.0,
16,Brasil,,,76,,,,2023-01-17,3,210147125.0,36665047,24260,695524,114,35626058.0,343465.0,
17,Brasil,,,76,,,,2023-01-18,3,210147125.0,36677844,12797,695615,91,35644368.0,337861.0,
18,Brasil,,,76,,,,2023-01-19,3,210147125.0,36698875,21031,696087,472,35655371.0,347417.0,
19,Brasil,,,76,,,,2023-01-20,3,210147125.0,36712851,13976,696188,101,35663851.0,352812.0,
20,Brasil,,,76,,,,2023-01-21,3,210147125.0,36717501,4650,696254,66,35675028.0,346219.0,
21,Brasil,,,76,,,,2023-01-22,4,210147125.0,36718053,552,696257,3,35699675.0,322121.0,
22,Brasil,,,76,,,,2023-01-23,4,210147125.0,36730913,12860,696324,67,35735781.0,298808.0,
23,Brasil,,,76,,,,2023-01-24,4,210147125.0,36751410,20497,696485,161,35773623.0,281302.0,
24,Brasil,,,76,,,,2023-01-25,4,210147125.0,36768677,17267,696603,118,35795631.0,276443.0,
25,Brasil,,,76,,,,2023-01-26,4,210147125.0,36780127,11450,696696,93,35803705.0,279726.0,
26,Brasil,,,76,,,,2023-01-27,4,210147125.0,36791267,11140,696742,46,35812908.0,281617.0,
27,Brasil,,,76,,,,2023-01-28,4,210147125.0,36793778,2511,696757,15,35828380.0,268641.0,
28,Brasil,,,76,,,,2023-01-29,5,210147125.0,36794261,483,696759,2,35853682.0,243820.0,
29,Brasil,,,76,,,,2023-01-30,5,210147125.0,36807814,13553,696892,133,35890413.0,220509.0,
30,Brasil,,,76,,,,2023-01-31,5,210147125.0,36824580,16766,697074,182,35919372.0,208134.0,
31,Brasil,,,76,,,,2023-02-01,5,210147125.0,36837943,13363,697200,126,35933396.0,207347.0,
32,Brasil,,,76,,,,2023-02-02,5,210147125.0,36857916,19973,697248,48,35946758.0,213910.0,
33,Brasil,,,76,,,,2023-02-03,5,210147125.0,36866658,8742,697345,97,35948241.0,221072.0,
34,Brasil,,,76,,,,2023-02-04,5,210147125.0,36868219,1561,697360,15,35953131.0,217728.0,
35,Brasil,,,76,,,,2023-02-05,6,210147125.0,36868946,727,697361,1,35966707.0,204878.0,
36,Brasil,,,76,,,,2023-02-06,6,210147125.0,36878774,9828,697439,78,35991588.0,189747.0,
